address,MLS,construction_status,listing_status,active_in_export,sold_comp_exists,sold_close_date,CONFLICT,id,represented_homes,paired_addresses
"201 E 26th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131193248,1,
"1436 Dorothy St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131086163,1,
"1141 Alexander St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131360412,1,
"934 Dorothy St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131360894,1,
"118 E 24th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131437170,1,
"1123 Nadine St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131191409,1,
"519 Threlkeld St, Houston, Tx 77007",—,no evidenced stage,none,False,True,519 Threlkeld Street: 2025-12-22,none,2130814684,1,
"6005 N Main St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131018442,1,
"2119 Gostick St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131129729,1,
"2225 Singleton St, Houston, Tx 77008",—,exterior,active_single,False,False,—,none,2131129791,1,
"2011 Singleton St, Houston, Tx 77008",5383346,market,market; active_single; listed,True,False,—,none,2131129832,1,
"2119 Carter St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131129881,1,
"118 E 23rd St, Houston, Tx 77008",—,complete,active_split,False,False,—,B neither (availability unverified); D absence (unconfirmed),2131144961,2,116 E 23RD Street
"626 E 22nd St, Houston, Tx 77008",—,no evidenced stage,none,False,True,626 E 22nd Street: 2025-11-14,none,2131145222,1,
"741 W 21st St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131042481,1,
"813 Herkimer St, Houston, Tx 77007",—,no evidenced stage,none,False,False,—,none,2131044677,1,
"838 Waverly St, Houston, Tx 77007",—,no evidenced stage,none,False,False,—,none,2131044801,1,
"545 W 27th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131143852,1,
"520 W 24th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131144336,1,
"714 W 23rd St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131144616,1,
"1300 Waverly St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131146860,1,
"1300 Waverly St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131146866,1,
"918 Tulane St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131149006,1,
"615 Allston St, Houston, Tx 77007",—,no evidenced stage,none,False,True,615 Allston Street: 2025-08-15,none,2131149358,1,
"1211 N Durham Dr, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131179219,1,
"616 E 5th St, Houston, Tx 77007",—,no evidenced stage,none,False,False,—,none,2131190507,1,
"2047 Columbia St, Houston, Tx 77008",—,exterior,active_single,False,False,—,none,2131145380,1,
"935 Pecore St, Houston, Tx 77009",—,no evidenced stage,none,False,True,935 Pecore Street: 2026-01-30,none,2131151610,1,
"909 Bayland Ave, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131152146,1,
"314 W 21st St, Houston, Tx 77008",—,finishing,active_split,False,False,—,none,2131186599,2,
"1021 Nadine St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131191267,1,
"1128 Adele St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131191475,1,
"1015 Adele St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131191611,1,
"1123 Louise St, Houston, Tx 77009",—,finishing,active_split,False,False,—,none,2131191920,2,"1121 Louise St, Houston, TX 77009"
"839 E 26th St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131192777,1,
"713 E 26th St, Houston, Tx 77009",36627624,finishing,active_split,True,False,—,none,2131192874,2,711 E 26TH Street
"344 Harvard St, Houston, Tx 77007",—,no evidenced stage,none,False,False,—,none,2131190693,1,
"1126 W 22nd St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131200820,1,
"1124 W 21st St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131200959,1,
"618 Wendel St, Houston, Tx 77009",—,finishing,active_single,False,False,—,none,2131211370,1,
"1402 W 14th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131225773,1,
"637 E 6th 1/2 St, Houston, Tx 77007",—,no evidenced stage,none,False,False,—,none,2131226721,1,
"901 Dorothy St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131238884,1,
"1310 Omar St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131241262,1,
"837 W 25th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131282520,1,
"1533 Herkimer St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131284485,1,
"1448 W 25th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131330121,1,
"1518 W 25th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131330179,1,
"1330 W 24th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131330283,1,
"1306 W 21st St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131331131,1,
"1506 W 21st St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131331183,1,
"1610 W 21st St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131331239,1,
"1534 Beall St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131331686,1,
"614 E 26th St, Houston, Tx 77008",—,finishing,active_single,False,False,—,none,2131193931,1,
"704 E 26th St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131194068,1,
"830 E 26th St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131194125,1,
"205 Northwood St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131195093,1,
"602 E 29th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131207363,1,
"608 E 29th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131207382,1,
"423 E 28th St, Houston, Tx 77008",—,no evidenced stage,none,False,False,—,none,2131207530,1,
"704 E 28th St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131208326,1,
"731 E 27th St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131208376,1,
"1006 E 28th St, Houston, Tx 77009",—,framing,active_single,False,False,—,none,2131208502,1,
"305 Tabor St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131226980,1,
"301 Enid St, Houston, Tx 77009",—,no evidenced stage,none,False,False,—,none,2131227429,1,
