SOURCE,ID,ADDRESS,LAT,LNG,REASON,DETAIL,RAW_JSON
let DATA,pmt_4616-eli-st-c-77007,"4616 Eli St C, Houston, TX 77007",29.7735328,-95.4079459,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4616-eli-st-c-77007"", ""a"": ""4616 Eli St C, Houston, TX 77007"", ""llc"": ""BAYBRO BUILDERS CORPORATION"", ""kind"": ""permit"", ""lat"": 29.7735328, ""lng"": -95.4079459, ""permits"": [{""owner"": ""BAYBRO BUILDERS CORPORATION"", ""desc"": ""S.F. RES. W/ATT.  GAR. (1-3-5-R3-B) 21 IRC/21 IECC (M# 26014116)"", ""val"": ""374746"", ""ptype"": ""13"", ""proj"": ""26014121"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=3 (distinct address unit letters); master_size=6 (26014116); depth_ft=50.0001; geometry=HCAD unique exact-address polygon; parcel=1487810010001; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0072670000003'], 'children': ['1487810010007', '1487810010006', '1487810010001', '1487810010002', '1487810010005', '1487810010003', '1487810010004'], 'source': 'refresh/parcel_events.json'}"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1487810010001"", ""matched"": ""4616 ELI ST # C"", ""legal"": ""LT 1 BLK 1|ELI STREET GREEN"", ""depth_ft"": 50.0001, ""width_ft"": 34.6699, ""area_sf"": 1533.49, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": [{""event"": ""SPLIT"", ""vintage"": ""2025_Oct->2026_Jul"", ""parents"": [""0072670000003""], ""children"": [""1487810010007"", ""1487810010006"", ""1487810010001"", ""1487810010002"", ""1487810010005"", ""1487810010003"", ""1487810010004""], ""source"": ""refresh/parcel_events.json""}]}, ""units"": 3, ""master_size"": 6, ""unit_source"": ""distinct address unit letters"", ""master_source"": ""26014116"", ""family"": ""Split""}}}"
let DATA,pmt_4612-eli-st-b-77007,"4612 Eli St B, Houston, TX 77007",29.7735054,-95.4074178,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4612-eli-st-b-77007"", ""a"": ""4612 Eli St B, Houston, TX 77007"", ""llc"": ""BAYBRO BUILDERS CORPORATION"", ""kind"": ""permit"", ""lat"": 29.7735054, ""lng"": -95.4074178, ""permits"": [{""owner"": ""BAYBRO BUILDERS CORPORATION"", ""desc"": ""S.F. RES. W/ATT.  GAR. (1-3-5-R3-B) 21 IRC/21 IECC (M# 26014116)"", ""val"": ""396365"", ""ptype"": ""13"", ""proj"": ""26014117"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=3 (distinct address unit letters); master_size=6 (26014116); depth_ft=49.9999; geometry=HCAD unique exact-address polygon; parcel=1487810010005; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0072670000003'], 'children': ['1487810010007', '1487810010006', '1487810010001', '1487810010002', '1487810010005', '1487810010003', '1487810010004'], 'source': 'refresh/parcel_events.json'}"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1487810010005"", ""matched"": ""4612 ELI ST # B"", ""legal"": ""LT 5 BLK 1|ELI STREET GREEN"", ""depth_ft"": 49.9999, ""width_ft"": 30.6701, ""area_sf"": 1533.5, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": [{""event"": ""SPLIT"", ""vintage"": ""2025_Oct->2026_Jul"", ""parents"": [""0072670000003""], ""children"": [""1487810010007"", ""1487810010006"", ""1487810010001"", ""1487810010002"", ""1487810010005"", ""1487810010003"", ""1487810010004""], ""source"": ""refresh/parcel_events.json""}]}, ""units"": 3, ""master_size"": 6, ""unit_source"": ""distinct address unit letters"", ""master_source"": ""26014116"", ""family"": ""Split""}}}"
let DATA,pmt_4616-eli-st-a-77007,"4616 Eli St A, Houston, TX 77007",29.7739068,-95.4085833,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4616-eli-st-a-77007"", ""a"": ""4616 Eli St A, Houston, TX 77007"", ""llc"": ""BAYBRO BUILDERS CORPORATION"", ""kind"": ""permit"", ""lat"": 29.7739068, ""lng"": -95.4085833, ""permits"": [{""owner"": ""BAYBRO BUILDERS CORPORATION"", ""desc"": ""S.F. RES. W/ATT.  GAR. (1-3-5-R3-B) 21 IRC/21 IECC (M# 26014116)"", ""val"": ""396365"", ""ptype"": ""13"", ""proj"": ""26014119"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=3 (distinct address unit letters); master_size=6 (26014116); depth_ft=50.0001; geometry=HCAD unique exact-address polygon; parcel=1487810010003; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0072670000003'], 'children': ['1487810010007', '1487810010006', '1487810010001', '1487810010002', '1487810010005', '1487810010003', '1487810010004'], 'source': 'refresh/parcel_events.json'}"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1487810010003"", ""matched"": ""4616 ELI ST # A"", ""legal"": ""LT 3 BLK 1|ELI STREET GREEN"", ""depth_ft"": 50.0001, ""width_ft"": 34.6599, ""area_sf"": 1733.0, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": [{""event"": ""SPLIT"", ""vintage"": ""2025_Oct->2026_Jul"", ""parents"": [""0072670000003""], ""children"": [""1487810010007"", ""1487810010006"", ""1487810010001"", ""1487810010002"", ""1487810010005"", ""1487810010003"", ""1487810010004""], ""source"": ""refresh/parcel_events.json""}]}, ""units"": 3, ""master_size"": 6, ""unit_source"": ""distinct address unit letters"", ""master_source"": ""26014116"", ""family"": ""Split""}}}"
let DATA,2131271381,"1604 Spring St, Houston, Tx 77007",29.775384,-95.374036,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"":""2131271381"",""a"":""1604 Spring St, Houston, Tx 77007"",""llc"":""Kidalex Llc"",""v"":""$372,470"",""sd"":""2026-07-21"",""lot"":""4176"",""f"":""Recently Sold, Off Market, Cash Buyer, High Equity, Tax Delinquent, Senior Owner, Corporate Owner"",""u"":""https://app.dealmachine.com/leads#property(id)=2131271381"",""lat"":29.775384,""lng"":-95.374036,""c"":null, ""prod"": ""Unknown"", ""product_classification"": {""product"": ""Unknown"", ""confidence"": ""unknown"", ""reason_code"": ""UNVERIFIED_PLAT"", ""reason"": ""replat child; units=1 (one address); master_size=None (none); depth_ft=149.9988; geometry=HCAD unique exact-address polygon; parcel=0142570000007; parcel_history=none"", ""candidate"": ""Split Lot"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""0142570000007"", ""matched"": ""1604 SPRING ST"", ""legal"": ""TRS 2A 3B & 4A BLK 3|FRITZ"", ""depth_ft"": 149.9988, ""width_ft"": 44.8838, ""area_sf"": 5279.99, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": []}, ""units"": 1, ""master_size"": null, ""unit_source"": ""one address"", ""master_source"": ""none"", ""family"": ""Split""}}}"
let DATA,pmt_4327-center-st-77007,"4327 Center St, Houston, TX 77007",29.7708676,-95.4050481,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4327-center-st-77007"", ""a"": ""4327 Center St, Houston, TX 77007"", ""llc"": ""CHAMPIONS COMMERCIAL VENTURES, LLC"", ""kind"": ""permit"", ""lat"": 29.7708676, ""lng"": -95.4050481, ""permits"": [{""owner"": ""CHAMPIONS COMMERCIAL VENTURES, LLC"", ""desc"": ""S.F. RES W/ATT. GARAGE (1-3-5-R3-B) 21 IRC/21 IECC (MST OF 4)"", ""val"": ""333668"", ""ptype"": ""13"", ""proj"": ""24053698"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=1 (one address); master_size=4 (24053698); depth_ft=59.4492; geometry=HCAD unique exact-address polygon; parcel=1440920010004; parcel_history=none"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1440920010004"", ""matched"": ""4327 CENTER ST"", ""legal"": ""LT 4 BLK 1|CENTER STREET T/H"", ""depth_ft"": 59.4492, ""width_ft"": 32.8199, ""area_sf"": 1710.04, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": []}, ""units"": 1, ""master_size"": 4, ""unit_source"": ""one address"", ""master_source"": ""24053698"", ""family"": ""Split""}}}"
let DATA,pmt_4325-center-st-77007,"4325 Center St, Houston, TX 77007",29.7709404,-95.4050537,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4325-center-st-77007"", ""a"": ""4325 Center St, Houston, TX 77007"", ""llc"": ""CHAMPIONS COMMERCIAL VENTURES, LLC"", ""kind"": ""permit"", ""lat"": 29.7709404, ""lng"": -95.4050537, ""permits"": [{""owner"": ""CHAMPIONS COMMERCIAL VENTURES, LLC"", ""desc"": ""S.F. RES W/ATT. GARAGE (1-3-5-R3-B) 21 IRC/21 IECC (M #24053698)"", ""val"": ""333235"", ""ptype"": ""13"", ""proj"": ""24053699"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=1 (one address); master_size=4 (24053698); depth_ft=59.4491; geometry=HCAD unique exact-address polygon; parcel=1440920010003; parcel_history=none"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1440920010003"", ""matched"": ""4325 CENTER ST"", ""legal"": ""LT 3 BLK 1|CENTER STREET T/H"", ""depth_ft"": 59.4491, ""width_ft"": 24.0001, ""area_sf"": 1426.78, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": []}, ""units"": 1, ""master_size"": 4, ""unit_source"": ""one address"", ""master_source"": ""24053698"", ""family"": ""Split""}}}"
let DATA,pmt_4323-center-st-77007,"4323 Center St, Houston, TX 77007",29.7710105,-95.4050549,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4323-center-st-77007"", ""a"": ""4323 Center St, Houston, TX 77007"", ""llc"": ""CHAMPIONS COMMERCIAL VENTURES, LLC"", ""kind"": ""permit"", ""lat"": 29.7710105, ""lng"": -95.4050549, ""permits"": [{""owner"": ""CHAMPIONS COMMERCIAL VENTURES, LLC"", ""desc"": ""S.F. RES W/ATT. GARAGE (1-3-5-R3-B) 21 IRC/21 IECC (M #24053698)"", ""val"": ""332803"", ""ptype"": ""13"", ""proj"": ""24053700"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=1 (one address); master_size=4 (24053698); depth_ft=59.4493; geometry=HCAD unique exact-address polygon; parcel=1440920010002; parcel_history=none"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1440920010002"", ""matched"": ""4323 CENTER ST"", ""legal"": ""LT 2 BLK 1|CENTER STREET T/H"", ""depth_ft"": 59.4493, ""width_ft"": 26.9999, ""area_sf"": 1605.12, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": []}, ""units"": 1, ""master_size"": 4, ""unit_source"": ""one address"", ""master_source"": ""24053698"", ""family"": ""Split""}}}"
let DATA,pmt_4105-allen-st-77007,"4105 Allen St, Houston, TX 77007",29.7715778,-95.4026248,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4105-allen-st-77007"", ""a"": ""4105 Allen St, Houston, TX 77007"", ""llc"": ""MUNSHI             AMAANI"", ""kind"": ""permit"", ""lat"": 29.7715778, ""lng"": -95.4026248, ""permits"": [{""owner"": ""MUNSHI             AMAANI"", ""desc"": ""S.F. RES W/ATT. GARAGE (1-3-5-R3-B) 21 IRC/21 IECC (M # 24047986)"", ""val"": ""350099"", ""ptype"": ""13"", ""proj"": ""24047987"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=1 (one address); master_size=3 (24047986); depth_ft=69.7364; geometry=HCAD unique exact-address polygon; parcel=1343540010007; parcel_history=none"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1343540010007"", ""matched"": ""4105 ALLEN ST"", ""legal"": ""LT 7 BLK 1|ALLEN TRACE"", ""depth_ft"": 69.7364, ""width_ft"": 27.7189, ""area_sf"": 1829.18, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": []}, ""units"": 1, ""master_size"": 3, ""unit_source"": ""one address"", ""master_source"": ""24047986"", ""family"": ""Split""}}}"
let DATA,pmt_4107-allen-st-77007,"4107 Allen St, Houston, TX 77007",29.7716539,-95.4026259,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4107-allen-st-77007"", ""a"": ""4107 Allen St, Houston, TX 77007"", ""llc"": ""RETREAT ON CROCKETT LLC"", ""kind"": ""permit"", ""lat"": 29.7716539, ""lng"": -95.4026259, ""permits"": [{""owner"": ""RETREAT ON CROCKETT LLC"", ""desc"": ""S.F. RES W/ATT. GARAGE (1-3-5-R3-B) 21 IRC/21 IECC (M # 24047986)"", ""val"": ""350099"", ""ptype"": ""13"", ""proj"": ""24047988"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=1 (one address); master_size=3 (24047986); depth_ft=69.674; geometry=HCAD unique exact-address polygon; parcel=1343540010008; parcel_history=none"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1343540010008"", ""matched"": ""4107 ALLEN ST"", ""legal"": ""LT 8 BLK 1|ALLEN TRACE"", ""depth_ft"": 69.674, ""width_ft"": 27.2133, ""area_sf"": 1795.84, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": []}, ""units"": 1, ""master_size"": 3, ""unit_source"": ""one address"", ""master_source"": ""24047986"", ""family"": ""Split""}}}"
let DATA,pmt_4103-allen-st-77007,"4103 Allen St, Houston, TX 77007",29.7715031,-95.4026237,OOZ_POLY_I10_SOUTH,Approved Heights boundary correction: south of COH I-10 mainline midpoint; removal only,"{""id"": ""pmt_4103-allen-st-77007"", ""a"": ""4103 Allen St, Houston, TX 77007"", ""llc"": ""MUNSHI             AMAANI"", ""kind"": ""permit"", ""lat"": 29.7715031, ""lng"": -95.4026237, ""permits"": [{""owner"": ""MUNSHI             AMAANI"", ""desc"": ""S.F. RES W/ATT. GARAGE (1-3-5-R3-B) 21 IRC/21 IECC (MST OF 3)"", ""val"": ""350099"", ""ptype"": ""13"", ""proj"": ""24047986"", ""permitDesc"": ""Building Pmt""}], ""prod"": ""Common Driveway"", ""product_classification"": {""product"": ""Common Driveway"", ""confidence"": ""high"", ""reason_code"": ""V9_VERIFIED"", ""reason"": ""replat child; units=1 (one address); master_size=3 (24047986); depth_ft=69.5128; geometry=HCAD unique exact-address polygon; parcel=1343540010006; parcel_history=none"", ""candidate"": ""Common Driveway"", ""version"": ""v9-ingest-1"", ""evidence"": {""parcel"": {""source"": ""HCAD unique exact-address polygon"", ""account"": ""1343540010006"", ""matched"": ""4103 ALLEN ST"", ""legal"": ""LT 6 BLK 1|ALLEN TRACE"", ""depth_ft"": 69.5128, ""width_ft"": 26.0941, ""area_sf"": 1721.9, ""geometry_crs"": ""EPSG:2278"", ""depth_method"": ""minimum rotated rectangle, longest side"", ""parcel_history"": []}, ""units"": 1, ""master_size"": 3, ""unit_source"": ""one address"", ""master_source"": ""24047986"", ""family"": ""Split""}}}"
