address,MLS,construction_phase,current_market_status,prior_stored_tag,conflict_class
845-A West 23rd Street,17612330,foundation,active,"[""foundation""]","[""H""]"
615 Wendel Street,31557430,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
613 Wendel Street,6296220,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
1002 E 25th Street,72762085,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
902 E 25TH Street,32496070,complete,active,"[""active_single"", ""complete"", ""listed""]","[""B""]"
830 E 27th Street Street,94349442,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
920 E 25TH Street,35798306,interior,active,"[""active_single"", ""interior"", ""listed""]","[""H""]"
122 E 4th Street,90552057,complete,active,"[""active_split"", ""complete"", ""listed""]","[""B""]"
834 WAVERLY Street,46031576,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
2011 Singleton Street,5383346,mep_finals,active,"[""active_single"", ""listed"", ""mep_finals""]","[""H""]"
1502 W 21st Street,22973800,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
705 Walton Street,6584972,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
3115 Beauchamp Street,54037481,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
830 WAVERLY Street,97695610,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
2603 JULIAN Street,87208794,mep_roughs,active,"[""active_single"", ""listed"", ""mep_roughs""]","[""H""]"
1138 Fugate Street,64823156,mep_finals,active,"[""mep_finals""]","[""H""]"
603 E 23rd Street,70087101,interior,active,"[""active_single"", ""interior"", ""listed""]","[""H""]"
623 E 13th Street,89411837,mep_finals,active,"[""active_single"", ""listed"", ""mep_finals""]","[""H""]"
614 Ridge Street,90107924,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
1111 E 27th Street,26389093,untracked,active,[],"[""G""]"
2218 Gostick Street,87300082,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
609 E 25th Street,53672595,complete,active,"[""active_single"", ""complete"", ""listed""]","[""B""]"
212 E 24th Street,29120139,complete,active,"[""active_single"", ""complete"", ""listed""]","[""B""]"
906 Bayland Avenue,56747960,mep_finals,active,"[""mep_finals""]","[""H""]"
715 Merrill Street,88557637,complete,active,"[""active_single"", ""complete"", ""listed""]","[""B""]"
2015 Harvard Street,7670973,no evidenced phase,active,"[""active_single"", ""listed"", ""market""]","[""G""]"
410 Merrill Street,31444523,interior,active,"[""interior"", ""needs_clarification""]","[""H""]"
2924 Watson Street,70723638,interior,active,"[""active_single"", ""interior"", ""listed""]","[""H""]"
735 E 8TH 1/2 Street,5069786,interior,active,"[""active_single"", ""interior"", ""listed""]","[""H""]"
731 E 8TH 1/2 Street,40836939,interior,active,"[""active_single"", ""interior"", ""listed""]","[""H""]"
248 W 22nd Street,89221155,interior,active,"[""active_single"", ""interior"", ""listed""]","[""H""]"
2434 White Oak Drive,9001753,framing,active,"[""active_single"", ""framing"", ""listed""]","[""H""]"
1140 Waverly Street,57009282,interior,active,"[""active_single"", ""interior"", ""listed""]","[""H""]"
2436 White Oak,68235642,framing,active,"[""active_single"", ""framing"", ""listed""]","[""H""]"
1002 E 6TH 1/2 Street,93562410,mep_finals,active,"[""active_single"", ""listed"", ""mep_finals""]","[""H""]"
1303 Cordell Street Unit#B,64036585,complete,active,"[""active_split"", ""complete"", ""listed""]","[""B""]"
1032 W 17th Street Unit#A,7485788,no evidenced phase,active,"[""active_split"", ""listed"", ""market""]","[""G""]"
409 Walton Street Unit#B,54747421,complete,active,[],"[""B""]"
1122 E 27TH ST Unit#A,71690573,no evidenced phase,active,[],"[""G""]"
1520 W 21st St Unit#A,95958213,complete,active,[],"[""B""]"
1218 Prince Street,57925491,exterior,active,"[""active_split"", ""exterior"", ""listed""]","[""H""]"
741 W 21st Street Unit#A,7364673,no evidenced phase,active,"[""active_split"", ""listed"", ""market""]","[""G""]"
1227 Prince Street,22766797,no evidenced phase,active,[],"[""G""]"
1120 E 26th Street,29146166,interior,active,"[""active_split"", ""interior"", ""listed""]","[""H""]"
835 W 25th Street,87747647,complete,active,"[""active_split"", ""complete"", ""listed""]","[""B""]"
805 W 22nd Street,4182331,interior,active,"[""active_split"", ""interior"", ""listed""]","[""H""]"
1122 Robbie Street,89794015,mep_finals,active,[],"[""H""]"
1322 Lawrence Street,13912427,complete,active,"[""active_split"", ""complete"", ""listed""]","[""B""]"
1012 E 26TH Street,54722254,insulation,active,[],"[""H""]"
711 E 26TH Street,36627624,interior,active,[],"[""H""]"
318 W 21st Street,69573145,interior,active,"[""active_split"", ""interior"", ""listed""]","[""H""]"
609 W 27th Street,98658584,complete,active,"[""active_split"", ""complete"", ""listed""]","[""B""]"
112 E 27th Street,34333707,complete,active,[],"[""B""]"
611 E 25th Street Unit#B,57910089,no evidenced phase,active,[],"[""G""]"
407 E 27TH Street,10210884,mep_finals,active,"[""active_split"", ""listed"", ""mep_finals""]","[""H""]"
710 Waverly Street Unit#D,32352560,no evidenced phase,active,"[""active_split"", ""listed"", ""market""]","[""G""]"
335 Harvard Street,65070979,complete,active,"[""active_split"", ""complete"", ""listed""]","[""B""]"
1504 W 21st Street,14206939,no evidenced phase,active,[],"[""G""]"
312 w 9th St,16999317,interior,active,[],"[""H""]"
1315 Waverly Street,62006938,no evidenced phase,pending,"[""active_single"", ""listed"", ""market""]","[""F"", ""G""]"
1116 Highland Street,42468659,complete,pending,"[""active_single"", ""complete"", ""listed"", ""pending""]","[""C"", ""F""]"
1113 Voight Street,40388055,mep_finals,pending,"[""active_single"", ""listed"", ""mep_finals""]","[""F""]"
1126 E 7th 1/2 Street,95336494,complete,pending,"[""complete"", ""listed"", ""off_market_single""]","[""C"", ""F""]"
1208 E 26th Street Unit#A,58591599,complete,pending,"[""active_split"", ""complete"", ""listed"", ""pending""]","[""C"", ""F""]"
