market,id,address,homes,phase,elapsed_days,overdue_days,before_days,after_days,before_date,after_date,days_earlier,cap_2x_days
index,2131193248,"201 E 26th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131086163,"1436 Dorothy St, Houston, Tx 77008",1,,,0,,,,,,
index,2131360412,"1141 Alexander St, Houston, Tx 77008",1,,,0,,,,,,
index,2131360894,"934 Dorothy St, Houston, Tx 77008",1,,,0,,,,,,
index,2131437170,"118 E 24th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131191409,"1123 Nadine St, Houston, Tx 77009",1,,,0,,,,,,
index,2130814684,"519 Threlkeld St, Houston, Tx 77007",1,,,0,,,,,,
index,2131018442,"6005 N Main St, Houston, Tx 77009",1,,,0,,,,,,
index,2131129729,"2119 Gostick St, Houston, Tx 77008",1,,,0,,,,,,
index,2131129791,"2225 Singleton St, Houston, Tx 77008",1,exterior,15,0,190,190,2027-03-18,2027-03-18,0,190
index,2131129832,"2011 Singleton St, Houston, Tx 77008",1,mep_finals,5,0,16,16,2026-09-25,2026-09-25,0,16
index,2131129881,"2119 Carter St, Houston, Tx 77008",1,,,0,,,,,,
index,2131144961,"118 E 23rd St, Houston, Tx 77008",2,complete,,0,,,2026-07-31,2026-07-31,,
index,2131145222,"626 E 22nd St, Houston, Tx 77008",1,,,0,,,,,,
index,2131042481,"741 W 21st St, Houston, Tx 77008",1,,,0,,,,,,
index,2131044677,"813 Herkimer St, Houston, Tx 77007",1,,,0,,,,,,
index,2131044801,"838 Waverly St, Houston, Tx 77007",1,,,0,,,,,,
index,2131143852,"545 W 27th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131144336,"520 W 24th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131144616,"714 W 23rd St, Houston, Tx 77008",1,,,0,,,,,,
index,2131146860,"1300 Waverly St, Houston, Tx 77008",1,,,0,,,,,,
index,2131146866,"1300 Waverly St, Houston, Tx 77008",1,,,0,,,,,,
index,2131149006,"918 Tulane St, Houston, Tx 77008",1,,,0,,,,,,
index,2131149358,"615 Allston St, Houston, Tx 77007",1,,,0,,,,,,
index,2131179219,"1211 N Durham Dr, Houston, Tx 77008",1,,,0,,,,,,
index,2131190507,"616 E 5th St, Houston, Tx 77007",1,,,0,,,,,,
index,2131145380,"2047 Columbia St, Houston, Tx 77008",1,exterior,9,0,196,196,2027-03-24,2027-03-24,0,196
index,2131151610,"935 Pecore St, Houston, Tx 77009",1,,,0,,,,,,
index,2131152146,"909 Bayland Ave, Houston, Tx 77009",1,,,0,,,,,,
index,2131186599,"314 W 21st St, Houston, Tx 77008",2,interior,15,0,120,120,2027-01-07,2027-01-07,0,120
index,2131191267,"1021 Nadine St, Houston, Tx 77009",1,,,0,,,,,,
index,2131191475,"1128 Adele St, Houston, Tx 77009",1,,,0,,,,,,
index,2131191611,"1015 Adele St, Houston, Tx 77009",1,,,0,,,,,,
index,2131191920,"1123 Louise St, Houston, Tx 77009",2,interior,42,0,93,93,2026-12-11,2026-12-11,0,93
index,2131192777,"839 E 26th St, Houston, Tx 77009",1,,,0,,,,,,
index,2131192874,"713 E 26th St, Houston, Tx 77009",2,interior,110,0,25,25,2026-10-04,2026-10-04,0,25
index,2131190693,"344 Harvard St, Houston, Tx 77007",1,,,0,,,,,,
index,2131200820,"1126 W 22nd St, Houston, Tx 77008",1,,,0,,,,,,
index,2131200959,"1124 W 21st St, Houston, Tx 77008",1,,,0,,,,,,
index,2131211370,"618 Wendel St, Houston, Tx 77009",1,insulation,28,7,163,163,2027-02-19,2027-02-19,0,163
index,2131225773,"1402 W 14th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131226721,"637 E 6th 1/2 St, Houston, Tx 77007",1,,,0,,,,,,
index,2131238884,"901 Dorothy St, Houston, Tx 77008",1,,,0,,,,,,
index,2131241262,"1310 Omar St, Houston, Tx 77008",1,,,0,,,,,,
index,2131282520,"837 W 25th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131284485,"1533 Herkimer St, Houston, Tx 77008",1,,,0,,,,,,
index,2131330121,"1448 W 25th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131330179,"1518 W 25th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131330283,"1330 W 24th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131331131,"1306 W 21st St, Houston, Tx 77008",1,,,0,,,,,,
index,2131331183,"1506 W 21st St, Houston, Tx 77008",1,,,0,,,,,,
index,2131331239,"1610 W 21st St, Houston, Tx 77008",1,,,0,,,,,,
index,2131331686,"1534 Beall St, Houston, Tx 77008",1,,,0,,,,,,
index,2131193931,"614 E 26th St, Houston, Tx 77008",1,interior,28,0,107,107,2026-12-25,2026-12-25,0,107
index,2131194068,"704 E 26th St, Houston, Tx 77009",1,,,0,,,,,,
index,2131194125,"830 E 26th St, Houston, Tx 77009",2,,,0,,,,,,
index,2131195093,"205 Northwood St, Houston, Tx 77009",1,,,0,,,,,,
index,2131207363,"602 E 29th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131207382,"608 E 29th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131207530,"423 E 28th St, Houston, Tx 77008",1,,,0,,,,,,
index,2131208326,"704 E 28th St, Houston, Tx 77009",1,,,0,,,,,,
index,2131208376,"731 E 27th St, Houston, Tx 77009",1,,,0,,,,,,
index,2131208502,"1006 E 28th St, Houston, Tx 77009",1,framing,138,117,343,247,2027-08-18,2027-05-14,96,268
index,2131226980,"305 Tabor St, Houston, Tx 77009",1,,,0,,,,,,
index,2131227429,"301 Enid St, Houston, Tx 77009",1,,,0,,,,,,
index,2131240072,"711 E 12th St, Houston, Tx 77008",1,interior,189,75,210,210,2027-04-07,2027-04-07,0,210
index,2131242651,"1107 E 27th St, Houston, Tx 77009",1,,,0,,,,,,
index,2131283678,"1703 Yale St, Houston, Tx 77008",1,,,0,,,,,,
index,2131284475,"1518 Herkimer St, Houston, Tx 77008",1,interior,72,0,63,63,2026-11-11,2026-11-11,0,63
index,2131318105,"122 Redan St, Houston, Tx 77009",1,,,0,,,,,,
index,2131318242,"1120 E 26th St, Houston, Tx 77009",2,interior,79,0,56,56,2026-11-04,2026-11-04,0,56
index,2131318619,"500 Aurora St, Houston, Tx 77008",1,,,0,,,,,,
