market,id,address,product,confidence,reason_code,reason,candidate,parcel_account,depth_ft
index,2131437170,"118 E 24th St, Houston, Tx 77008",Unknown,unknown,HELD_TRIAGE,"{""address"": ""118 E 24th St, Houston, Tx 77008"", ""bucket"": ""RESOLVED-SINGLE"", ""reason"": ""legal LT n + 5,069 sf full lot""}; one whole lot; units=1 (one address); master_size=None (none); depth_ft=99.7411; geometry=HCAD unique exact-address polygon; parcel=0562750000012; parcel_history=none",Single Lot,0562750000012,99.7411
index,2131191409,"1123 Nadine St, Houston, Tx 77009",Unknown,unknown,HELD_TRIAGE,"{""address"": ""1123 Nadine St, Houston, Tx 77009"", ""bucket"": ""RESOLVED-SINGLE"", ""reason"": ""5,000 sf = 100% of plat median 5,000""}; one whole lot; units=1 (one address); master_size=None (none); depth_ft=100.0002; geometry=HCAD unique exact-address polygon; parcel=0350110040006; parcel_history=none",Single Lot,0350110040006,100.0002
index,2130814684,"519 Threlkeld St, Houston, Tx 77007",Unknown,unknown,HELD_TRIAGE,"{""address"": ""519 Threlkeld St, Houston, Tx 77007"", ""bucket"": ""GENUINELY-AMBIGUOUS"", ""reason"": ""4,758 sf in the 4-5k dead zone, no plat median""}; replat child; units=1 (one address); master_size=None (none); depth_ft=136.3517; geometry=HCAD unique exact-address polygon; parcel=1244690010005; parcel_history=none",Split Lot,1244690010005,136.3517
index,2131129729,"2119 Gostick St, Houston, Tx 77008",Unknown,unknown,HELD_TRIAGE,"{""address"": ""2119 Gostick St, Houston, Tx 77008"", ""bucket"": ""GENUINELY-AMBIGUOUS"", ""reason"": ""4,600 sf = 81% of plat median 5,700""}; fragment only; units=1 (one address); master_size=None (none); depth_ft=100.0852; geometry=HCAD unique exact-address polygon; parcel=0151570000010; parcel_history=none",Split Lot,0151570000010,100.0852
index,2131145222,"626 E 22nd St, Houston, Tx 77008",Unknown,unknown,HELD_TRIAGE,"{""address"": ""626 E 22nd St, Houston, Tx 77008"", ""bucket"": ""RESOLVED-SINGLE"", ""reason"": ""4,510 sf = 90% of plat median 4,987""}; one whole lot; units=1 (one address); master_size=None (none); depth_ft=142.5006; geometry=HCAD unique exact-address polygon; parcel=0200610000001; parcel_history=none",Single Lot,0200610000001,142.5006
index,2131042481,"741 W 21st St, Houston, Tx 77008",Unknown,unknown,HELD_TRIAGE,"{""address"": ""741 W 21st St, Houston, Tx 77008"", ""bucket"": ""RESOLVED-SINGLE"", ""reason"": ""legal assembled 2 lots, 6,550 sf >= 2x2400""}; assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=131.0002; geometry=HCAD unique exact-address polygon; parcel=0200740000027; parcel_history=none",Unknown,0200740000027,131.0002
index,2131044801,"838 Waverly St, Houston, Tx 77007",Unknown,unknown,HELD_TRIAGE,"{""address"": ""838 Waverly St, Houston, Tx 77007"", ""bucket"": ""GENUINELY-AMBIGUOUS"", ""reason"": ""13,200 sf \u2014 larger than any Heights full lot""}; assembled 3 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=132.0012; geometry=HCAD unique exact-address polygon; parcel=0202370000031; parcel_history=none",Unknown,0202370000031,132.0012
index,2131146860,"1300 Waverly St, Houston, Tx 77008",Unknown,unknown,HELD_TRIAGE,"{""address"": ""1300 Waverly St, Houston, Tx 77008"", ""bucket"": ""GENUINELY-AMBIGUOUS"", ""reason"": ""4,932 sf = 68% of plat median 7,263""}; no legal; units=1 (one address); master_size=None (none); depth_ft=None; geometry=ambiguous exact-address accounts; parcel=unavailable; parcel_history=none",Unknown,,
index,2131179219,"1211 N Durham Dr, Houston, Tx 77008",Unknown,unknown,HELD_TRIAGE,"{""address"": ""1211 N Durham Dr, Houston, Tx 77008"", ""bucket"": ""GENUINELY-AMBIGUOUS"", ""reason"": ""12,400 sf \u2014 larger than any Heights full lot""}; reserve/replat; units=1 (one address); master_size=None (none); depth_ft=124.1408; geometry=HCAD unique exact-address polygon; parcel=1468120010001; parcel_history=none",Split Lot,1468120010001,124.1408
index,2131152146,"909 Bayland Ave, Houston, Tx 77009",Unknown,unknown,HELD_TRIAGE,"{""address"": ""909 Bayland Ave, Houston, Tx 77009"", ""bucket"": ""RESOLVED-SINGLE"", ""reason"": ""4,893 sf = 99% of plat median 4,959""}; fragment only; units=1 (one address); master_size=None (none); depth_ft=98.851; geometry=HCAD unique exact-address polygon; parcel=0513780000023; parcel_history=none",Common Driveway,0513780000023,98.851
