market,address,id,stored,classifier,candidate,confidence,reason,judgment
index,"201 E 26th St, Houston, Tx 77008",2131193248,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.0; geometry=HCAD unique exact-address polygon; parcel=0350870330033; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1436 Dorothy St, Houston, Tx 77008",2131086163,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=101.002; geometry=HCAD unique exact-address polygon; parcel=0391210000738; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"934 Dorothy St, Houston, Tx 77008",2131360894,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=120.2501; geometry=HCAD unique exact-address polygon; parcel=0600850100022; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"6005 N Main St, Houston, Tx 77009",2131018442,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=160.9918; geometry=HCAD unique exact-address polygon; parcel=0060570000002; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"545 W 27th St, Houston, Tx 77008",2131143852,Single Lot,Split Lot,Split Lot,high,lot + fragment; units=1 (one address); master_size=None (none); depth_ft=131.0; geometry=HCAD unique exact-address polygon; parcel=0200140000025; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"527 W 27th St, Houston, Tx 77008",2131143861,Split Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=2 (25102310); depth_ft=130.9999; geometry=HCAD unique exact-address polygon; parcel=0200140000034; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"520 W 24th St, Houston, Tx 77008",2131144336,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=131.0; geometry=HCAD unique exact-address polygon; parcel=0200430000011; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"714 W 23rd St, Houston, Tx 77008",2131144616,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=100.2027; geometry=HCAD unique exact-address polygon; parcel=0200480000050; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"1300 Waverly St, Houston, Tx 77008",2131146866,Single Lot,Unknown,Unknown,unknown,no legal; units=1 (one address); master_size=None (none); depth_ft=None; geometry=ambiguous exact-address accounts; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"918 Tulane St, Houston, Tx 77008",2131149006,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=131.8185; geometry=HCAD unique exact-address polygon; parcel=0202300000026; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
