id,address,group,account,match_status,legal,depth_ft,width_ft,area_sf,unit_letters,unit_count,master_size,master_source,parcel_history,improvement_value,land_value,recommendation,blocking_reason,evidence_source,dimensions_source,prior_geometry,prior_legal,prior_history,current_geometry,current_legal,current_history,unverified_context,context_queries
pmt_1040-voight-st-77009,"1040 Voight St, Houston, TX 77009",DEPTH_BOUNDARY_UNCERTAIN,1483980010002,EXACT,LT 2 BLK 1|VOIGHT STREET VIEWS,99.9999,25.0,2499.98,,1,2,24120301,"[{""acct_continuity"": false, ""addresses"": {""child"": [""1040 VOIGHT ST"", ""1042 VOIGHT ST""], ""parent"": [""1040 VOIGHT ST""]}, ""areas"": {""child_sf"": [2500.0, 2500.0], ""delta_pct"": 0.23, ""parent_sf"": [4988.3], ""sum_child_sf"": 5000.0, ""sum_parent_sf"": 4988.3}, ""child_accts"": [""1483980010002"", ""1483980010001""], ""event"": ""SPLIT"", ""lat"": 29.780284, ""lng"": -95.386061, ""parent_accts"": [""0512040010015""], ""vintage"": ""2024_Oct->2025_Oct""}]",675583,250000,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_1042-voight-st-77009,"1042 Voight St, Houston, TX 77009",DEPTH_BOUNDARY_UNCERTAIN,1483980010001,EXACT,LT 1 BLK 1|VOIGHT STREET VIEWS,99.9999,25.0,2499.98,,1,2,24120301,"[{""acct_continuity"": false, ""addresses"": {""child"": [""1040 VOIGHT ST"", ""1042 VOIGHT ST""], ""parent"": [""1040 VOIGHT ST""]}, ""areas"": {""child_sf"": [2500.0, 2500.0], ""delta_pct"": 0.23, ""parent_sf"": [4988.3], ""sum_child_sf"": 5000.0, ""sum_parent_sf"": 4988.3}, ""child_accts"": [""1483980010002"", ""1483980010001""], ""event"": ""SPLIT"", ""lat"": 29.780284, ""lng"": -95.386061, ""parent_accts"": [""0512040010015""], ""vintage"": ""2024_Oct->2025_Oct""}]",705055,250000,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_1132-adele-st-77009,"1132 Adele St, Houston, TX 77009",DEPTH_BOUNDARY_UNCERTAIN,1446520010002,EXACT,LT 2 BLK 1|ADELE LANDING,100.0001,24.9998,2499.98,,1,2,25039338,[],487741,175000,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1308-edwards-st-a-77007,"1308 Edwards St A, Houston, TX 77007",DEPTH_BOUNDARY_UNCERTAIN,1490260010002,EXACT,LT 2 BLK 1|EDWARDS HEIGHTS,100.0002,25.5,2550.0,A,2,,none,"[{""acct_continuity"": false, ""addresses"": {""child"": [""1308 EDWARDS ST"", ""1308 EDWARDS ST""], ""parent"": [""1308 EDWARDS ST""]}, ""areas"": {""child_sf"": [2450.0, 2550.0], ""delta_pct"": 0.0, ""parent_sf"": [4999.9], ""sum_child_sf"": 5000.0, ""sum_parent_sf"": 4999.9}, ""child_accts"": [""1490260010001"", ""1490260010002""], ""event"": ""SPLIT"", ""lat"": 29.771016, ""lng"": -95.370395, ""parent_accts"": [""0050880000002""], ""vintage"": ""2025_Oct->2026_Jul""}]",263283,166000,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_1308-edwards-st-b-77007,"1308 Edwards St B, Houston, TX 77007",DEPTH_BOUNDARY_UNCERTAIN,1490260010001,EXACT,LT 1 BLK 1|EDWARDS HEIGHTS,100.0001,24.5,2450.0,B,2,2,25048881,"[{""acct_continuity"": false, ""addresses"": {""child"": [""1308 EDWARDS ST"", ""1308 EDWARDS ST""], ""parent"": [""1308 EDWARDS ST""]}, ""areas"": {""child_sf"": [2450.0, 2550.0], ""delta_pct"": 0.0, ""parent_sf"": [4999.9], ""sum_child_sf"": 5000.0, ""sum_parent_sf"": 4999.9}, ""child_accts"": [""1490260010001"", ""1490260010002""], ""event"": ""SPLIT"", ""lat"": 29.771016, ""lng"": -95.370395, ""parent_accts"": [""0050880000002""], ""vintage"": ""2025_Oct->2026_Jul""}]",294871,162000,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_4605-nolda-st-77007,"4605 Nolda St, Houston, TX 77007",DEPTH_BOUNDARY_UNCERTAIN,1478650010001,EXACT,LT 1 BLK 1|NOLDA ENCLAVE,99.9998,25.0001,2500.0,,1,,none,"[{""acct_continuity"": false, ""addresses"": {""child"": [""4605 NOLDA ST"", ""4603 NOLDA ST""], ""parent"": [""4605 NOLDA ST""]}, ""areas"": {""child_sf"": [2500.0, 2500.0], ""delta_pct"": 0.14, ""parent_sf"": [4993.2], ""sum_child_sf"": 5000.0, ""sum_parent_sf"": 4993.2}, ""child_accts"": [""1478650010001"", ""1478650010002""], ""event"": ""SPLIT"", ""lat"": 29.776112, ""lng"": -95.407845, ""parent_accts"": [""0072840000010""], ""vintage"": ""2024_Oct->2025_Oct""}]",0,212500,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_5016-schuler-st-77007,"5016 Schuler St, Houston, TX 77007",DEPTH_BOUNDARY_UNCERTAIN,1495650010002,EXACT,LT 2 BLK 1|SCHULER POINT,100.0007,25.0007,2500.01,,1,,none,"[{""acct_continuity"": false, ""addresses"": {""child"": [""5018 SCHULER ST"", ""5016 SCHULER ST""], ""parent"": [""5018 SCHULER ST""]}, ""areas"": {""child_sf"": [2500.0, 2500.0], ""delta_pct"": 0.0, ""parent_sf"": [5000.0], ""sum_child_sf"": 5000.0, ""sum_parent_sf"": 5000.0}, ""child_accts"": [""1495650010001"", ""1495650010002""], ""event"": ""SPLIT"", ""lat"": 29.772876, ""lng"": -95.412219, ""parent_accts"": [""0072600000007""], ""vintage"": ""2025_Oct->2026_Jul""}]",0,175000,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_5018-schuler-st-77007,"5018 Schuler St, Houston, TX 77007",DEPTH_BOUNDARY_UNCERTAIN,1495650010001,EXACT,LT 1 BLK 1|SCHULER POINT,100.0008,25.0008,2500.04,,1,,none,"[{""acct_continuity"": false, ""addresses"": {""child"": [""5018 SCHULER ST"", ""5016 SCHULER ST""], ""parent"": [""5018 SCHULER ST""]}, ""areas"": {""child_sf"": [2500.0, 2500.0], ""delta_pct"": 0.0, ""parent_sf"": [5000.0], ""sum_child_sf"": 5000.0, ""sum_parent_sf"": 5000.0}, ""child_accts"": [""1495650010001"", ""1495650010002""], ""event"": ""SPLIT"", ""lat"": 29.772876, ""lng"": -95.412219, ""parent_accts"": [""0072600000007""], ""vintage"": ""2025_Oct->2026_Jul""}]",0,175000,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_513-w-8th-st-77007,"513 W 8th St, Houston, TX 77007",DEPTH_BOUNDARY_UNCERTAIN,0202380000038,EXACT,TRS 19B 20B & 21B BLK 242|HOUSTON HEIGHTS,100.0002,44.0,4400.01,,1,,none,[],968100,484000,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_602-jewett-st-a-77009,"602 Jewett St A, Houston, TX 77009",DEPTH_BOUNDARY_UNCERTAIN,1482900010002,EXACT,LT 2 BLK 1|PLAZA ESTATES AT JEWETT,99.9999,50.0001,2959.61,A,2,2,25007490,"[{""acct_continuity"": false, ""addresses"": {""child"": [""0 JEWETT ST"", ""0 VINCENT ST""], ""parent"": [""602 JEWETT ST""]}, ""areas"": {""child_sf"": [2040.0, 2960.0], ""delta_pct"": 0.0, ""parent_sf"": [5000.0], ""sum_child_sf"": 5000.0, ""sum_parent_sf"": 5000.0}, ""child_accts"": [""1482900010001"", ""1482900010002""], ""event"": ""SPLIT"", ""lat"": 29.799285, ""lng"": -95.373175, ""parent_accts"": [""0331150630008""], ""vintage"": ""2024_Oct->2025_Oct""}]",460204,146020,Retain Unknown,Recorded dimensions/access plat distinguishing side-by-side lots from shared access; values and two-unit evidence do not settle access.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
