MLS,ADDRESS,CLOSE_DATE,REASON,EVIDENCE
28537378,1240 Heights Boulevard,2026-09-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
91273988,416 W 18th Street,2026-09-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
17841617,1101 Omar Street,2026-09-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
85610560,1520 Alexander Street,2026-09-03,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
59023445,925 Heights Boulevard,2026-09-03,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
69359852,828 E 28th Street,2026-09-02,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
60835413,2624 Fountain Key Boulevard,2026-09-02,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
48507690,2028 Columbia Street,2026-09-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
38557869,823 W 21st Street,2026-09-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
10680252,203 Archer Street,2026-09-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
92762224,307 E 8th Street,2026-08-31,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
27233276,1176 Nelson Falls Lane,2026-08-31,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
15138776,1535 Blair Street,2026-08-31,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
85783143,2630 Shady Acres Court,2026-08-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
554050,1507 Blair Street,2026-08-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
49943063,340 W 27th Street,2026-08-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
23733062,427 W 27th Street,2026-08-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
12738193,2019 Gostick Street,2026-08-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
91009805,516 W 24th Street,2026-08-27,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
66640468,2714 Cornell Street,2026-08-27,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
13917021,514 W 16th Street,2026-08-27,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
68329806,1011 W 14th Street,2026-08-26,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
51714023,1120 Woodland Street,2026-08-26,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
72655863,2041 W 14th 1/2 Street,2026-08-25,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
63690975,306 E 5th Street,2026-08-25,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
29665338,634 W 17th Street,2026-08-25,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
98445445,1008 E 7th Street,2026-08-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
82762123,315 W 15th Street,2026-08-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
96168637,825 Ralfallen Street,2026-08-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
83744527,1325 W 23rd Street,2026-08-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
40101983,523 W 25th Street,2026-08-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
54460078,1144 Dorothy Street,2026-08-19,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
13007560,910 Northwood Street,2026-08-19,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
66433106,1819 W 24th Street,2026-08-18,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
46092924,1518 Prince Street,2026-08-18,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
93812875,806 E 29th Street,2026-08-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
77976004,1529 Laird Street,2026-08-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
70853300,621 Wendel Street,2026-08-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
55929453,108 E 27th Street,2026-08-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
46492311,1005 W 24th Street,2026-08-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
16183688,710 Redan Street,2026-08-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
80862732,834 W 18th Street Unit#B,2026-08-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
68275712,1510 Columbia Street,2026-08-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
61710273,1305 Enid Street,2026-08-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
30166212,1201 Tulane Street,2026-08-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
78613052,1243 W 15th 1/2 Street,2026-08-13,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
97528053,217 W 10th Street,2026-08-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
56551673,1005 E 27th Street,2026-08-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
42235659,1205 Temple Street,2026-08-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
29967237,1222 Arlington Street,2026-08-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
88818539,1315 W 22nd Street,2026-08-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
45985101,200 E 26th Street,2026-08-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
88703042,926 Nicholson Street,2026-08-06,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
38531074,415 W 16th Street Unit#D,2026-08-06,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
46113113,1111 Wynnwood Lane,2026-08-05,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
83992671,411 W 24th Street,2026-08-04,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
10455581,908 East 23rd,2026-07-31,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
55427593,335 W 23rd Street,2026-07-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
75980855,102 Vieux Carre Drive,2026-07-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
3473318,2611 Harvard Street,2026-07-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
51794552,626 E 6th 1/2 Street,2026-07-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
27711684,1421 Blair Street,2026-07-28,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
44865770,820 E 24th Street,2026-07-27,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
58351277,1436 Harvard Street,2026-07-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
53943558,125 North Street,2026-07-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
56577602,823 W 26th Street,2026-07-23,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
94167783,2211 Harvard Street,2026-07-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
20467322,1202 Walton Street,2026-07-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
89636495,1011 W Melwood Street,2026-07-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
58504241,1215 Ashland Street,2026-07-21,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
72854297,703 Cordell Street,2026-07-20,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
62247476,218 E 27th Street Unit#C,2026-07-20,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
51497992,501 Cordell Street,2026-07-20,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
92874787,1708 Ashland Street,2026-07-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
72216964,1307 E 27th Street,2026-07-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
57079875,1511 Harvard Street,2026-07-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
42392223,235 W 22nd Street,2026-07-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
13973985,732 W 17th Street,2026-07-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
92102014,125 E 22nd Street,2026-07-16,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
61177197,2222 Oxford Street,2026-07-16,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
44982064,808 Coronado Street,2026-07-16,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
42763532,1022 E 27th Street,2026-07-16,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
95668060,522 W 15th Street,2026-07-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
91606116,1825 Arlington Street,2026-07-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
58171358,1127 Wynnwood Lane,2026-07-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
4582337,1202 W 16th Street Unit#C,2026-07-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
23805136,1621 W 23rd Street Unit#B,2026-07-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
19875282,609 Rutland Street Unit#A,2026-07-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
81515728,1549 Alexander Street,2026-07-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
77690227,108 W 10th 1/2 Street,2026-07-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
64425181,1332 Cortlandt Street,2026-07-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
54247575,201 W 24th Street,2026-07-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
3417992,530 W 26th Street,2026-07-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
19677901,414 W 13th Street,2026-07-14,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
97109549,638 W 17th Street,2026-07-10,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
78189826,118 Northwood Street,2026-07-10,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
52782469,635 13th Street,2026-07-10,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
3196281,1007 E 28th Street,2026-07-10,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
86356817,700 E 9th Street,2026-07-09,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
72816786,2018 Columbia Street,2026-07-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
3488858,1512 Ashland Street,2026-07-08,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
24078179,1527 Oxford Street,2026-07-07,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
82557379,811 Redan Street,2026-07-06,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
7401866,1003 E 25th Street,2026-07-06,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
38965602,706 E 12th Street,2026-07-06,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
80007569,203 W 24th Street,2026-07-02,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
59409723,1223 W 15th 1/2 Street,2026-07-02,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
9626530,2503 Nicholson Street,2026-07-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
92057150,1207 E 24th Street Unit#A,2026-07-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
88710300,1512 W 23rd Street,2026-07-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
88284995,2416 Couch Street,2026-07-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
86180071,1036 Alexander Street,2026-07-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
82968775,904 W 25th Street Unit#D,2026-07-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
68264598,2612 Morrison Street,2026-07-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
53278224,537 Columbia Street,2026-07-01,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
84434131,718 Ashland Street,2026-06-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
57456393,1235 W 15 1/2 Street,2026-06-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
4671342,437 W 27th Street,2026-06-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
38864704,734 Yale Street Unit#A,2026-06-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
28940105,908 E 26th Street,2026-06-30,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
71177008,838 Ashland Street,2026-06-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
44955770,2409 Bevis Street,2026-06-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
16778006,1534 Dorothy Street Unit#A,2026-06-29,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
69972057,135 E 23rd Street,2026-06-26,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
61021966,402 E 26th Street,2026-06-26,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
89669312,1202 Archer Street,2026-06-25,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
28465357,606 Rutland Street,2026-06-25,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
68779836,420 W 18th Street,2026-06-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
26657111,1111 Le Green Street,2026-06-24,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
3798835,1502 Dian Street,2026-06-23,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
95828356,515 W 25th Street,2026-06-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
84875125,948 Ashland Street,2026-06-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
75479522,843 W 21st Street Unit#B,2026-06-22,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
39989545,1109 Rutland Street,2026-06-18,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
34705703,1238 W 22nd Street,2026-06-18,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
24435192,1014 Wynnwood Lane,2026-06-18,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
13643489,723 E 7th Street,2026-06-18,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
93056562,216 W 9th Street,2026-06-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
90721643,1310 Tulane Street,2026-06-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
63937109,1122 E 23rd Street,2026-06-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
52974488,1432 Prince Street Unit#A,2026-06-17,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
90281172,104 Moss Street,2026-06-16,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
76703519,527 Oxford Street Unit#C,2026-06-16,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
40991381,1102 Wynnwood Lane,2026-06-16,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
89661396,411 W 17th Street Unit#C,2026-06-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
87886258,607 E 15th Street,2026-06-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
85169148,3541 Michaux Street,2026-06-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
7962946,1102 E 14th Street,2026-06-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
73656029,733 Ashland Street Unit#C,2026-06-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
58937222,816 W Cottage Street,2026-06-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
28212945,1624 Heights Boulevard,2026-06-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
10220327,943 Columbia Street,2026-06-15,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
97061865,1216 Arlington Street,2026-06-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
87891863,1906 W 25th Street,2026-06-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
64288894,1231 Waverly Street Unit#A,2026-06-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
23675223,1248 Herkimer Street,2026-06-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
16624685,1408 W 23rd Street,2026-06-12,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
6896254,319 E 26th Street,2026-06-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
54714746,1503 Herkimer Street,2026-06-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
51365389,2407 Bevis Street,2026-06-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
49883700,1314 Harvard Street,2026-06-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
34830033,316 E 5th Street,2026-06-11,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
78441053,205 W 24th Street,2026-06-09,RESALE_NOT_COMP,Retained in SOLD_EVIDENCE
