scope,mls,address,reason
market_row_excluded,74337485,1824 W 23rd Street,OOZ_REGEX
market_row_excluded,73224522,1822 W 23rd Street,OOZ_REGEX
market_row_excluded,50080272,1015 Golden Nectar Lane,OOZ_REGEX
market_row_excluded,7631989,1824 W 23rd Street,OOZ_REGEX
market_row_excluded,38910560,1824 W 23rd Street,OOZ_REGEX
market_row_excluded,61100048,1824 W 23rd Street,OOZ_REGEX
market_row_excluded,29151240,1824 W 23rd Street,OOZ_REGEX
market_row_excluded,76925204,1824 W 23rd Street,OOZ_REGEX
market_row_excluded,71670980,1824 W 23rd Street,OOZ_REGEX
market_row_excluded,98009765,1822 W 23rd Street,OOZ_REGEX
market_row_excluded,75428614,1822 W 23rd Street,OOZ_REGEX
market_row_excluded,63800829,1822 W 23rd Street,OOZ_REGEX
comp_not_added_evidence_retained,80759194,606 HAWTHORN GROVE Lane,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,74242973,1717 W 23rd Street Unit#C,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,75958509,1208 Prince Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,16956753,604 HAWTHORN GROVE Lane,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,14898532,1206 Prince Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,67371594,1210 Prince Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,55299178,1127 W 16th Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,34690990,1204 Prince Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,59306165,1202 Prince Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,31307402,1717 W 23rd Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,27123626,1717 W 23rd Street Unit#D,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,10070499,1022 W 15th 1/2 Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,95366956,1637 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,35986723,1717 W 23rd Street Unit#G,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,84779708,1641 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,25724449,1639 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,25299667,1305 E 27th Unit#A,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,48746851,1195 W 19th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,58649222,1022 W 15th 1/2 Street Unit#A,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,10751548,1243 W 23rd Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,52530764,1173 W 19th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,93921317,1191 W 19th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,5985642,1635 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,89301946,1717 W 23rd Street Unit#A,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,59112952,1717 W 23rd Street Unit#E,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,67610780,1717 W 23rd Street Unit#F,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,26281357,1643 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,36782916,1243 W 23rd Street Unit#D,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,90998671,1243 W 23rd Street Unit#A,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,51829241,1629 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,23759746,1305 E 27th Unit#C,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,61297893,1210 W 17th Street Unit#D,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,5208825,1210 W 17th Street Unit#C,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,68331095,1210 W 17th Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,91751851,1210 W 17th Street Unit#A,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,41165084,1212 W 23rd Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,4766495,1020 W 15th 1/2 Street Unit#C,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,90688051,1243 W 23rd Street Unit#E,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,98812939,1214 W 23rd,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,31348449,1122 W 16TH Street Unit E,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,19452698,1122 W 16TH ST Unit#A,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,10199848,1016 W 15th 1/2 Street Unit#A,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,6748392,1122 W 16TH ST Unit#F,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,32852631,1018 W 15th 1/2 Street Unit#C,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,15907746,1145 W 22nd Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,31447346,1210 W 17th Street Unit#F,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,72858287,1189 W 19th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,14840836,1185 W 19th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,17627956,1183 W 19th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,43533076,1104 Adele Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,802575,708 Pittman Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,10141751,4115 De George Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,27206912,4113 De George Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,64893918,1509 W 24th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,26076852,1511 W 24th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,70834229,1106 Cordell Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,65759233,4117 De George Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,69955478,4111 De George Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,73280616,4119 De George Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,67294234,912 W 24th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,4919524,1141 W 22nd Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,17530150,918 Nadine Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,34942574,1008 W 14th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,85025404,1106 E 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,85401945,2104 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,69437603,1147 W 22nd Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,84908423,1135 W 22nd Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,75665088,914 Nadine Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,54342595,856 E 25th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,40153924,1348 W Alexander Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,12171142,2817 Grinnell Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,10937262,2102 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,45135305,926 E 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,3243561,622 E 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,54609172,1010 W 14th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,37007545,1126 W 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,41577169,624 E 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,24213525,916 Nadine Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,74469698,858 E 25th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,36654771,1012 E 28th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,34243281,1004 E 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,341460,1133 W 22nd Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,98161903,311 East 27th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,46751422,1127 Louise Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,83709118,2106 Beall Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,67153778,1203 E 26th Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,26167785,1209 E 26th Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,93401033,1209 E 26th Street Unit#A,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,70670242,1129 Louise Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,17316343,824 E 25th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,81801618,3303 W 11 Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,32321677,1432 Nashua Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,59589411,826 E 25th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,88050469,336 W 26 Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,10175377,1110 E 25th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,67761947,928 E 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,92675355,1209 Prince Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,84606831,1112 E 25th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,95994168,1433 Laird Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,83437876,611 W 27th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,96109724,1211 Prince Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,54315151,613 W 27th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,16558751,338 W 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,11670898,340 W 26th Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,24691707,738 W 21st Street,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,28553019,319 W 26th Street Unit#B,COMP_NOT_ADDED_POLICY
comp_not_added_evidence_retained,11130377,319 W 26th Street Unit#A,COMP_NOT_ADDED_POLICY
