address,member,product,status,mls,lot,source_row,sub2000
"118 E 23rd St, Houston, Tx 77008",2131144961,Split Lot,active,5930421,3500.0,67,False
"737 W 21st St C, Houston, TX 77008",pmt_737-w-21st-st-c-77008,Common Driveway,no_record,,,,False
"737 W 21st St B, Houston, TX 77008",pmt_737-w-21st-st-b-77008,Common Driveway,active,31329647,1638.0,19,True
"737 W 21st St A, Houston, TX 77008",pmt_737-w-21st-st-a-77008,Common Driveway,no_record,,,,False
"737 W 21st St D, Houston, TX 77008",pmt_737-w-21st-st-d-77008,Common Driveway,no_record,,,,False
"729 W 21st St A, Houston, TX 77008",pmt_729-w-21st-st-a-77008,Common Driveway,active,31414914,1556.0,38,True
"723 W 21st St, Houston, TX 77008",pmt_723-w-21st-st-77008,Common Driveway,no_record,,,,False
"725 W 21st St, Houston, TX 77008",pmt_725-w-21st-st-77008,Common Driveway,no_record,,,,False
"729 W 21st St B, Houston, TX 77008",pmt_729-w-21st-st-b-77008,Common Driveway,terminated,97207025,1556.0,924,True
"1432 Alexander St, Houston, TX 77008",pmt_1432-alexander-st-77008,Split Lot,no_record,,,,False
112 E 27th Street,act_112-e-27th-street,Split Lot,no_record,,,,False
"729 W 21st St C, Houston, TX 77008",pmt_729-w-21st-st-c-77008,Common Driveway,no_record,,,,False
"2811 Ave, Houston, TX 77009",pmt_2811-ave-77009,Single Lot,no_record,,,,False
"1301 Tabor St, Houston, TX 77009",pmt_1301-tabor-st-77009,Single Lot,no_record,,,,False
"1107 E 24th St, Houston, TX 77009",pmt_1107-e-24th-st-77009,Split Lot,active,70991955,1627.0,43,True
"1109 E 24th St, Houston, TX 77009",pmt_1109-e-24th-st-77009,Split Lot,active,11824678,1627.0,44,True
"409 Walton St A, Houston, TX 77009",pmt_409-walton-st-a-77009,Split Lot,no_record,,,,False
"931 Merrill St, Houston, TX 77009",pmt_931-merrill-st-77009,Single Lot,sold,16650968,,443,False
"706 E 7th St, Houston, TX 77007",pmt_706-e-7th-st-77007,Unknown,terminated,36132509,9375.0,1322,False
"818 Lawrence St, Houston, TX 77007",pmt_818-lawrence-st-77007,Unknown,no_record,,,,False
"702 E 8th St, Houston, TX 77007",pmt_702-e-8th-st-77007,Single Lot,no_record,,,,False
"4133 Kolb St A, Houston, TX 77007",pmt_4133-kolb-st-a-77007,Common Driveway,no_record,,,,False
"4133 Kolb St B, Houston, TX 77007",pmt_4133-kolb-st-b-77007,Common Driveway,no_record,,,,False
"1023 Grovewood Ln, Houston, TX 77008",pmt_1023-grovewood-ln-77008,Unknown,terminated,80549945,7200.0,1225,False
"910 W 24th St, Houston, TX 77008",pmt_910-w-24th-st-77008,Common Driveway,no_record,,,,False
"1115 Nashua St, Houston, TX 77008",pmt_1115-nashua-st-77008,Unknown,no_record,,,,False
"302 W 23rd St, Houston, TX 77008",pmt_302-w-23rd-st-77008,Unknown,no_record,,,,False
"213 E 23rd St, Houston, TX 77008",pmt_213-e-23rd-st-77008,Single Lot,no_record,,,,False
"1011 Worthshire St, Houston, TX 77008",pmt_1011-worthshire-st-77008,Unknown,no_record,,,,False
"809 W 18th St, Houston, TX 77008",pmt_809-w-18th-st-77008,Split Lot,no_record,,,,False
"1424 W 23rd St B, Houston, TX 77008",pmt_1424-w-23rd-st-b-77008,Common Driveway,active,48429544,1742.0,7,True
"1237 Waverly St, Houston, TX 77008",pmt_1237-waverly-st-77008,Split Lot,no_record,,,,False
"226 E 27th St, Houston, TX 77008",pmt_226-e-27th-st-77008,Split Lot,no_record,,,,False
