id,address,lot_type,last_list_price,builder,agent,lot_sqft,building_sqft,mls_number,date_off_market,disposition,lat,lng,notes
act_1003-w-42nd-street,1003 W 42nd Street,Single Lot,"$1,685,000",SF Custom Homes LLC,Erin Kaplan,,,,2026-08-02,sold,29.825769,-95.424672,
act_1003-wakefield-drive,1003 Wakefield Drive,Single Lot,"$1,350,000",Fisher Lane Builders,Victoria Rice,,,,2026-08-02,sold,29.821325,-95.42491,
act_1010-w-41st-street,1010 W 41st Street,Single Lot,"$1,599,990",Herzog Homes,David Herzog,,,,2026-08-02,sold,29.824323,-95.42533,
act_1010-w-42nd-street,1010 W 42nd Street,Single Lot,"$1,350,000",,Robin Tucker,,,,2026-08-02,sold,29.826324,-95.424882,
act_1022-wakefield-drive,1022 Wakefield Drive,Single Lot,"$1,680,000",K&S Construction,Deanna Zugheri,,,,2026-08-02,sold,29.821626,-95.425902,
act_1025-lamonte-lane,1025 Lamonte Lane,Single Lot,"$1,585,000",Resources Builders,Oliver Carter,,,,2026-08-02,sold,29.827693,-95.425001,
act_1025-wakefield-drive,1025 Wakefield Drive,Single Lot,"$2,250,000",,Rene Sorola,,,,2026-08-02,sold,29.821217,-95.426094,
act_1039-w-41st-street,1039 W 41st Street,Single Lot,"$1,556,000",Harvard Homes,Michael Silva,,,,2026-08-02,sold,29.823902,-95.426645,
act_1046-gardenia-drive,1046 Gardenia Drive,Single Lot,"$1,880,400",Harvard Homes,Michael Silva,,,,2026-08-02,sold,29.827223,-95.426297,
act_1051-althea-drive,1051 Althea Drive,Single Lot,"$1,460,000",BK Builder,Bardia Samiee,,,,2026-08-02,sold,29.82478,-95.427153,
act_1066-gardenia-drive,1066 Gardenia Drive,Single Lot,"$1,537,000",BK Builder,Bardia Samiee,,,,2026-08-02,sold,29.827184,-95.42722,
act_1079-w-41st-street,1079 W 41st Street,Single Lot,"$1,140,000",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.824666,-95.428298,
act_1103-du-barry-lane,1103 Du Barry Lane,Single Lot,"$1,505,000",Elevate Development,Michael Silva,,,,2026-08-02,sold,29.821492,-95.427337,
act_1111-wakefield-drive,1111 Wakefield Drive,Single Lot,"$2,349,990",ARCH ANGELO HOMES,Michael Silva,,,,2026-08-02,sold,29.82211,-95.428384,
act_1119-du-barry-lane,1119 Du Barry Lane,Single Lot,"$1,579,900",Herzog Homes,David Herzog,,,,2026-08-02,sold,29.821055,-95.427966,
act_1128-du-barry-lane,1128 Du Barry Lane,Single Lot,"$1,295,999",H-Tex Enterprises,Katherine Rodriguez,,,,2026-08-02,sold,29.821432,-95.4284,
act_1132-wakefield-drive,1132 Wakefield Drive,Single Lot,"$1,475,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.822986,-95.42877,
act_1211-candlelight-lane,1211 Candlelight Lane,Single Lot,"$1,345,000",FMF 1 LLC,David Edgerton,,,,2026-08-02,sold,29.836178,-95.430349,
act_1211-overhill-street,1211 Overhill Street,Single Lot,"$1,200,000",Stone Throw Builders,Jason Jones,,,,2026-08-02,sold,29.829591,-95.430217,
act_1213-kinley-lane,1213 Kinley Lane,Single Lot,"$1,577,000",JamestownEstateHomes,Victoria Hawes,,,,2026-08-02,sold,29.823704,-95.430178,
act_1215-richelieu-lane,1215 Richelieu Lane,Single Lot,"$1,400,000",Wood Custom Homes,Mel Reyna,,,,2026-08-02,sold,29.835423,-95.430526,
act_1216-chamboard-lane,1216 Chamboard Lane,Single Lot,"$1,406,500",MAZZ CONSTRUCTION,An De Gelaen,,,,2026-08-02,sold,29.830862,-95.430473,
act_1216-richelieu-lane,1216 Richelieu Lane,Single Lot,"$1,779,950",Arch Angelo Homes,Kristine Martinez,,,,2026-08-02,sold,29.835723,-95.43052,
act_1218-chippendale-road,1218 Chippendale Road,Single Lot,"$1,250,000",OAK FOREST BUILDERS,Michelle Eads,,,,2026-08-02,sold,29.822367,-95.430342,
act_1220-candlelight-lane,1220 Candlelight Lane,Single Lot,"$1,648,000",New Oak Homes,Mark Maniha,,,,2026-08-02,sold,29.836533,-95.430758,
act_1220-thornton-road,1220 Thornton Road,Single Lot,"$1,495,000",Arch Angelo,Kristine Martinez,,,,2026-08-02,sold,29.832438,-95.430661,
act_1221-lamonte-lane,1221 Lamonte Lane,Single Lot,"$1,612,500",Wood Custom Homes,Mel Reyna,,,,2026-08-02,sold,29.826596,-95.430594,
act_1222-du-barry-lane,1222 Du Barry Lane,Single Lot,"$1,590,000",RobRyan Custom Builders,Catalina Jackson,,,,2026-08-02,sold,29.821551,-95.430512,
act_1223-cheshire-lane,1223 Cheshire Lane,Single Lot,"$1,300,000",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.833728,-95.430901,
act_1223-curtin-street,1223 Curtin Street,Single Lot,"$1,400,000",,Joshua Ganjavi,,,,2026-08-02,sold,29.831203,-95.430818,
act_1224-chantilly-lane,1224 Chantilly Lane,Single Lot,"$1,525,000",,Caroline Schlemmer,,,,2026-08-02,sold,29.833367,-95.430901,
act_1225-du-barry-lane,1225 Du Barry Lane,Single Lot,"$1,420,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.821011,-95.430707,
act_1227-richelieu-lane,1227 Richelieu Lane,Single Lot,"$1,160,000",,Karie Tiner,,,,2026-08-02,sold,29.83532,-95.431085,
act_1228-chantilly-lane,1228 Chantilly Lane,Single Lot,"$1,500,000",Venice Custom Homes,Natalie Malla,,,,2026-08-02,sold,29.833274,-95.431058,
act_1228-martin-street,1228 Martin Street,Single Lot,"$1,500,000",Venice Custom Homes,Natalie Malla,,,,2026-08-02,sold,29.834882,-95.431091,
act_1230-althea-drive,1230 Althea Drive,Single Lot,"$1,337,000",,Amanda Ruchti,,,,2026-08-02,sold,29.825376,-95.430925,
act_1231-cheshire-lane,1231 Cheshire Lane,Single Lot,"$845,000",David Weekley Homes,Wendy Warnke-Sarmasag,,,,2026-08-02,sold,29.833711,-95.43131,
act_1232-cheshire-lane,1232 Cheshire Lane,Single Lot,"$1,400,000","Joyce Homes, Inc.",Linda Jamail Marshall,,,,2026-08-02,sold,29.834126,-95.431275,
act_1236-curtin-street,1236 Curtin Street,Single Lot,"$1,229,900","Herzog Homes, LLC",David Herzog,,,,2026-08-02,sold,29.831688,-95.431442,
act_1236-martin-street,1236 Martin Street,Single Lot,"$1,990,000",Arch Angelo Homes,Michael Silva,,,,2026-08-02,sold,29.834904,-95.431484,
act_1237-wakefield-drive,1237 Wakefield Drive,Single Lot,"$1,595,000",Harvard Homes,Michael Silva,,,,2026-08-02,sold,29.823015,-95.431309,
act_1239-chantilly-lane,1239 Chantilly Lane,Single Lot,"$1,250,000",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.832865,-95.431617,
act_1240-candlelight-lane,1240 Candlelight Lane,Single Lot,"$1,688,000",New Oak Homes,Mark Maniha,,,,2026-08-02,sold,29.8365,-95.431692,
act_1240-richelieu-lane,1240 Richelieu Lane,Single Lot,"$1,250,500",City Cottage,Patrick Rollins,,,,2026-08-02,sold,29.835753,-95.431683,
act_1241-du-barry-lane,1241 Du Barry Lane,Single Lot,"$1,775,000",Holland Fine Homes,Justin Davis,,,,2026-08-02,sold,29.820969,-95.431472,
act_1243-candlelight-lane,1243 Candlelight Lane,Single Lot,"$1,759,000",Harvard Homes,Michael Silva,,,,2026-08-02,sold,29.836161,-95.43189,
act_1244-cheshire-lane,1244 Cheshire Lane,Single Lot,"$1,750,000",Arch Angelo Homes,Adam Robertson,,,,2026-08-02,sold,29.83412,-95.431871,
act_1244-richelieu-lane,1244 Richelieu Lane,Single Lot,"$1,690,000",New Oak Homes,Mark Maniha,,,,2026-08-02,sold,29.835684,-95.431879,
act_1245-kinley-lane,1245 Kinley Lane,Single Lot,"$1,660,000",Fursten & co Building Group,Jason Jones,,,,2026-08-02,sold,29.824288,-95.431747,
act_1248-richelieu-lane,1248 Richelieu Lane,Single Lot,"$1,275,000",Harvard Homes,Michael Silva,,,,2026-08-02,sold,29.835658,-95.432067,
act_1249-lamonte-lane,1249 Lamonte Lane,Single Lot,"$1,549,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.826514,-95.431936,
act_1251-chamboard-lane,1251 Chamboard Lane,Single Lot,"$1,511,330",Partners In Building,Wesley Bryant,,,,2026-08-02,sold,29.83036,-95.432176,
act_1255-richelieu-lane,1255 Richelieu Lane,Single Lot,"$1,150,000",City Cottage,Patrick Rollins,,,,2026-08-02,sold,29.835324,-95.432454,
act_1260-candlelight-lane,1260 Candlelight Lane,Single Lot,"$1,695,000",,Caroline Schlemmer,,,,2026-08-02,sold,29.836527,-95.432676,
act_1261-wakefield-drive,1261 Wakefield Drive,Single Lot,"$1,693,000",Jamestown Estate Homes,Victoria Hawes,,,,2026-08-02,sold,29.82348,-95.432342,
act_1304-lamonte-lane,1304 Lamonte Lane,Single Lot,"$1,033,000",H-TEX ENTERPRISES,Katherine Rodriguez,,,,2026-08-02,sold,29.826924,-95.432352,
act_1305-martin-street,1305 Martin Street,Single Lot,"$1,442,900",Herzog Homes,David Herzog,,,,2026-08-02,sold,29.834469,-95.432843,
act_1305-overhill-street,1305 Overhill Street,Single Lot,"$1,280,000",H-TEX ENTERPRISES,Katherine Rodriguez,,,,2026-08-02,sold,29.829456,-95.432378,
act_1306-chantilly-lane,1306 Chantilly Lane,Single Lot,"$1,425,000",JamestownEstateHomes,Victoria Hawes,,,,2026-08-02,sold,29.833233,-95.432656,
act_1308-wakefield-drive,1308 Wakefield Drive,Single Lot,"$2,252,000",Venice Custom Homes,Natalie Malla,,,,2026-08-02,sold,29.824148,-95.43247,
act_1309-candlelight-lane,1309 Candlelight Lane,Single Lot,"$1,225,000",City Cottage,Patrick Rollins,,,,2026-08-02,sold,29.836043,-95.433254,
act_1309-overhill-street,1309 Overhill Street,Single Lot,"$1,095,000",H-TEX ENTERPRISES,Katherine Rodriguez,,,,2026-08-02,sold,29.829407,-95.432591,
act_1309-thornton-road,1309 Thornton Road,Single Lot,"$1,450,000",JamestownEstateHomes,Victoria Hawes,,,,2026-08-02,sold,29.831944,-95.432827,
act_1310-chantilly-lane,1310 Chantilly Lane,Single Lot,"$1,475,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.833176,-95.43283,
act_1313-candlelight-lane,1313 Candlelight Lane,Single Lot,"$1,200,000",City Cottage,Patrick Rollins,,,,2026-08-02,sold,29.836025,-95.433444,
act_1315-gardenia-drive,1315 Gardenia Drive,Single Lot,"$1,650,000",Thakkar & Company,Jacqueline Davis,,,,2026-08-02,sold,29.82571,-95.43287,
act_1318-overhill-street,1318 Overhill Street,Single Lot,"$1,799,000",Rowlen Investments,Alexandra McCauley,,,,2026-08-02,sold,29.829805,-95.433032,
act_1321-cheshire-lane,1321 Cheshire Lane,Single Lot,"$1,388,500",Partners in Building,Wesley Bryant,,,,2026-08-02,sold,29.833512,-95.433418,
act_1321-martin-street,1321 Martin Street,Single Lot,"$1,289,900",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.834365,-95.433596,
act_1322-martin-street,1322 Martin Street,Single Lot,"$1,205,000",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.834653,-95.433617,
act_1322-overhill-street,1322 Overhill Street,Single Lot,"$1,373,000",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.829824,-95.433213,
act_1325-martin-street,1325 Martin Street,Single Lot,"$1,455,000",Partners In Building,Wesley Bryant,,,,2026-08-02,sold,29.834345,-95.43381,
act_1329-chamboard-lane,1329 Chamboard Lane,Single Lot,"$1,879,000",Venice Custom Home Development,Mel Reyna,,,,2026-08-02,sold,29.830121,-95.433663,
act_1333-curtin-street,1333 Curtin Street,Single Lot,"$1,500,000",HMH LLC,Natalie Malla,,,,2026-08-02,sold,29.830959,-95.434033,
act_1333-martin-street,1333 Martin Street,Single Lot,"$1,414,000",Herzog Homes,David Herzog,,,,2026-08-02,sold,29.834306,-95.434181,
act_1336-althea-drive,1336 Althea Drive,Single Lot,"$1,535,000",R2 Custom Homes,Garrett Tyra,,,,2026-08-02,sold,29.825367,-95.433752,
act_1338-candlelight-lane,1338 Candlelight Lane,Single Lot,"$1,674,000",Eleviz LLC,Rachel Gonzalez-Dunham,,,,2026-08-02,sold,29.836351,-95.434523,
act_1341-candlelight-lane,1341 Candlelight Lane,Single Lot,"$1,549,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.835793,-95.434781,
act_1343-du-barry-lane,1343 Du Barry Lane,Single Lot,"$1,530,000",Eleviz LLC,Angela Hernandez,,,,2026-08-02,sold,29.821092,-95.43489,
act_1344-ebony-lane,1344 Ebony Lane,Single Lot,"$1,300,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.822203,-95.434676,
act_1345-martin-street,1345 Martin Street,Single Lot,"$1,500,000",,Barbara Mujica,,,,2026-08-02,sold,29.834179,-95.434727,
act_1347-althea-drive,1347 Althea Drive,Single Lot,"$1,479,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.825306,-95.434382,
act_1349-chantilly-lane,1349 Chantilly Lane,Single Lot,"$1,457,560",TyBeck Homes,Adam Robertson,,,,2026-08-02,sold,29.832512,-95.434657,
act_1351-althea-drive,1351 Althea Drive,Single Lot,"$1,501,000",,Izabela Rowe,,,,2026-08-02,sold,29.825129,-95.434583,
act_1352-du-barry-lane,1352 Du Barry Lane,Single Lot,"$1,240,000",City Cottage,Patrick Rollins,,,,2026-08-02,sold,29.821408,-95.435335,
act_1352-gardenia-drive,1352 Gardenia Drive,Single Lot,"$1,775,000",Jamestown Estate Homes,Victoria Hawes,,,,2026-08-02,sold,29.826451,-95.434666,
act_1353-candlelight-lane,1353 Candlelight Lane,Single Lot,"$1,485,000",N & T Builders,Natalie Malla,,,,2026-08-02,sold,29.835825,-95.435359,
act_1353-chantilly-lane,1353 Chantilly Lane,Single Lot,"$1,530,000",Texas City Cottage,Kristi Kolmetz,,,,2026-08-02,sold,29.832411,-95.434842,
act_1353-richelieu-lane,1353 Richelieu Lane,Single Lot,"$1,359,000",Resources Builders,Michael Silva,,,,2026-08-02,sold,29.834989,-95.435287,
act_1360-woodcrest-drive,1360 Woodcrest Drive,Single Lot,"$1,197,500",Herzog Home,David Herzog,,,,2026-08-02,sold,29.822978,-95.434873,
act_1363-ebony-lane,1363 Ebony Lane,Single Lot,"$1,421,923",K Simon Construction,Deanna Zugheri,,,,2026-08-02,sold,29.822056,-95.435718,
act_1376-woodcrest-drive,1376 Woodcrest Drive,Single Lot,"$1,179,000",Resources Builders,Michael Silva,,,,2026-08-02,sold,29.82316,-95.435593,
act_1406-cheshire-lane,1406 Cheshire Lane,Single Lot,"$1,326,640",New Oak Homes,Mark Maniha,,,,2026-08-02,sold,29.8337,-95.435704,
act_1410-chantilly-lane,1410 Chantilly Lane,Single Lot,"$1,364,000",Period Construction,Caroline Schlemmer,,,,2026-08-02,sold,29.832821,-95.435739,
act_1411-ebony-lane,1411 Ebony Lane,Single Lot,"$1,550,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.822234,-95.436761,
act_1411-lamonte-lane,1411 Lamonte Lane,Single Lot,"$1,550,000",SF Custom Homes,Kali Gipson,,,,2026-08-02,sold,29.826979,-95.435323,
act_1411-richelieu-lane,1411 Richelieu Lane,Single Lot,"$1,605,000",,Adam Robertson,,,,2026-08-02,sold,29.8348,-95.436078,
act_1411-sue-barnett-drive,1411 Sue Barnett Drive,Single Lot,"$1,475,000",Stone Throw Builders,Jason Jones,,,,2026-08-02,sold,29.829188,-95.420242,
act_1411-wakefield-drive,1411 Wakefield Drive,Single Lot,"$1,560,000",Herzog Homes,Kate Ferguson,,,,2026-08-02,sold,29.824635,-95.436045,
act_1417-overhill-street,1417 Overhill Street,Single Lot,"$1,425,000",Wood Custom Homes,Mel Reyna,,,,2026-08-02,sold,29.829041,-95.435349,
act_1418-chantilly-lane,1418 Chantilly Lane,Single Lot,"$1,110,000",,Ruth Carruthers,,,,2026-08-02,sold,29.832791,-95.436105,
act_1418-cheshire-lane,1418 Cheshire Lane,Single Lot,"$1,670,000",Ranier Custom Homes,Deanna Zugheri,,,,2026-08-02,sold,29.83347,-95.436205,
act_1419-candlelight-lane,1419 Candlelight Lane,Single Lot,"$1,338,700",New Oak Homes,Mark Maniha,,,,2026-08-02,sold,29.835664,-95.43658,
act_1419-hewitt-drive,1419 Hewitt Drive,Single Lot,"$1,585,000",RobRyan Builders,David Vallejo,,,,2026-08-02,sold,29.835756,-95.438912,
act_1423-gardenia-drive,1423 Gardenia Drive,Single Lot,"$2,099,000",Arch Angelo Homes,Michael Silva,,,,2026-08-02,sold,29.826277,-95.43616,
act_1426-chamboard-lane,1426 Chamboard Lane,Single Lot,"$1,225,000",City Cottage,Patrick Rollins,,,,2026-08-02,sold,29.830106,-95.436144,
act_1427-chamboard-lane,1427 Chamboard Lane,Single Lot,"$1,342,000",Quintessa Homes,Jihye Deveau,,,,2026-08-02,sold,29.829713,-95.435914,
act_1427-martin-street,1427 Martin Street,Single Lot,"$1,247,500",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.833875,-95.436651,
act_1430-overhill,1430 Overhill,Single Lot,"$1,335,000",ASG Homes,Harris Benson,,,,2026-08-02,sold,29.829072,-95.43616,
act_1431-chantilly-lane,1431 Chantilly Lane,Single Lot,"$1,425,000",Homebound,Ben Caballero,,,,2026-08-02,sold,29.832172,-95.436589,
act_1431-cheshire-lane,1431 Cheshire Lane,Single Lot,"$1,448,200",Stone Throw,Jason Jones,,,,2026-08-02,sold,29.833105,-95.436733,
act_1432-w-43rd-street,1432 W 43rd Street,Single Lot,"$1,044,000",Houston Home by LDM,Audrey Suarez,,,,2026-08-02,sold,29.829014,-95.436487,
act_1434-thornton-road,1434 Thornton Road,Single Lot,"$1,099,000",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.83172,-95.436783,
act_1434-woodcrest-drive,1434 Woodcrest Drive,Single Lot,"$1,595,000",Harvard Homes,Michael Silva,,,,2026-08-02,sold,29.823516,-95.437605,
act_1435-curtin-street,1435 Curtin Street,Single Lot,"$1,310,000",Niantic Homes,Freddie Minahan,,,,2026-08-02,sold,29.830447,-95.436486,
act_1435-woodcrest-drive,1435 Woodcrest Drive,Single Lot,"$1,260,000",Harvard Homes,Michael Silva,,,,2026-08-02,sold,29.823105,-95.437623,
act_1438-thornton-road,1438 Thornton Road,Single Lot,"$1,542,570",New Oak Homes,Adam Robertson,,,,2026-08-02,sold,29.83167,-95.436964,
act_1438-wakefield-drive,1438 Wakefield Drive,Single Lot,"$1,750,500",Harvard Homes,Michael Silva,,,,2026-08-02,sold,29.825235,-95.437276,
act_1439-chantilly-lane,1439 Chantilly Lane,Single Lot,"$1,100,000",Square Design,Abigail Bocchetto,,,,2026-08-02,sold,29.83211,-95.436952,
act_1439-martin-street,1439 Martin Street,Single Lot,"$1,719,000",Wood Custom Homes,Mel Reyna,,,,2026-08-02,sold,29.833763,-95.437183,
act_1441-chamboard-lane,1441 Chamboard Lane,Single Lot,"$1,550,000",RobRyan Builders,Hannah Winters,,,,2026-08-02,sold,29.829454,-95.436346,
act_1443-martin-street,1443 Martin Street,Single Lot,"$1,489,450",Ranier Custom Homes,Deanna Zugheri,,,,2026-08-02,sold,29.833765,-95.437416,
act_1450-martin-street,1450 Martin Street,Single Lot,"$1,699,325",Ranier Custom Homes,Deanna Zugheri,,,,2026-08-02,sold,29.83409,-95.437935,
act_1478-sue-barnett-drive,1478 Sue Barnett Drive,Single Lot,"$1,400,000","SF Custom Homes, LLC",Anne Vastakis,,,,2026-08-02,sold,29.83001,-95.42323,
act_1502-chantilly-lane,1502 Chantilly Lane,Single Lot,"$1,150,000",Square Design,Brian DePaulo,,,,2026-08-02,sold,29.832385,-95.437405,
act_1502-du-barry-lane,1502 Du Barry Lane,Single Lot,"$1,589,000",Echo Custom Homes,Kevin Sechelski,,,,2026-08-02,sold,29.821869,-95.437822,
act_1502-gardenia-drive,1502 Gardenia Drive,Single Lot,"$1,229,000",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.826909,-95.437945,
act_1505-wakefield-drive,1505 Wakefield Drive,Single Lot,"$1,512,500",Venice Custom Homes,Becky Wheeler,,,,2026-08-02,sold,29.824775,-95.438115,
act_1506-chippendale-road,1506 Chippendale Road,Single Lot,"$1,225,000",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.824323,-95.438059,
act_1506-wakefield-drive,1506 Wakefield Drive,Single Lot,"$1,237,113",Oak Forest Builders,Adam Robertson,,,,2026-08-02,sold,29.825172,-95.438066,
act_1509-wakefield-drive,1509 Wakefield Drive,Single Lot,"$1,406,000",JamestownEstateHomes,Victoria Hawes,,,,2026-08-02,sold,29.824886,-95.438265,
act_1515-candlelight-lane,1515 Candlelight Lane,Single Lot,"$1,259,000",City Cottage,Rachel Conkling,,,,2026-08-02,sold,29.835686,-95.438104,
