id,address,lot_type,last_list_price,builder,agent,lot_sqft,building_sqft,mls_number,date_off_market,disposition,lat,lng,notes
act_1011-e-25,1011 E 25th Street,Single Lot,"$1,369,000",Titan Homes,Lorannette Lewis,3470,,,2026-07-27,terminated,29.809194,-95.386256,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: Titan Homes. Agent: Lorannette Lewis. (location approximate). Est. completion: 2026-01-30.
act_1016-e-27,1016 E 27 th Street,Single Lot,"$1,389,999",Titan Homes,Lorannette Lewis,3521,,,2026-07-27,terminated,29.811706,-95.384997,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: Titan Homes. Agent: Lorannette Lewis. (location approximate). Est. completion: 2025-09-30.
act_1023-euclid,1023 Euclid Street,Single Lot,"$1,890,000",Texas Oak Custom Builders,Laura Ruppert,4145,,,2026-07-27,under contract,29.785478,-95.380563,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: Texas Oak Custom Builders. Agent: Laura Ruppert.
act_107-e-24,107 E 24th Street,Single Lot,"$1,395,000",J. Maren Homes,Caroline Schlemmer,3394,,,2026-07-27,unconfirmed,29.807505,-95.397642,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: J. Maren Homes. Agent: Caroline Schlemmer.
act_1119-e-7-12,1119 E 7th 1/2 Street,Single Lot,"$2,170,000",Active listing,Melissa Kubala,4257,,,2026-07-27,unconfirmed,29.784593,-95.386865,Off market as of 2026-07-27. Active inventory — Single Lot. Agent: Melissa Kubala. Deed transfer 2025-06-17 · Village Studio D Llc.
act_1122-e-27th-st-unit-b,1122 E 27TH ST Unit#B,Split Lot,"$685,000",NA,Ashley L Brown,2466,,,2026-07-27,sold,29.81216,-95.38431,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: NA. Agent: Ashley L Brown.
act_1229-prince-street,1229 Prince Street,Split Lot,"$719,900",CORE BUILDERS LLC,Jorge Bolio,2700,,,2026-07-27,sold,29.7934432,-95.4137051,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: CORE BUILDERS LLC. Agent: Jorge Bolio.
act_1321-alexander-street,1321 Alexander Street,Split Lot,"$809,000",Bennett Builders LLC,Emily Flores,3269,,,2026-07-27,unconfirmed,29.795091,-95.408184,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: Bennett Builders LLC. Agent: Emily Flores. (location approximate).
act_1326-lawrence-street,1326 Lawrence Street,Split Lot,"$899,900",CORE BUILDERS LLC,Jorge Bolio,3000,,,2026-07-27,under contract,29.795429,-95.407176,Off market as of 2026-07-27. Active inventory — Frontloader. Builder: CORE BUILDERS LLC. Agent: Jorge Bolio. Est. completion: 2026-07-15. Deed transfer 2025-12-15 · Core Builders Llc.
act_1436-alexander-st,1436 Alexander St,Split Lot,"$749,900",Century Custom Homes,Robert Wood,2469,,,2026-07-27,unconfirmed,29.797323,-95.408051,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: Century Custom Homes. Agent: Robert Wood. Est. completion: 2026-05-16. Deed transfer 2025-06-30 · Nicam Investments Inc.
