bucket,group,address,data_id,current_label,hcad_acct,legal_lines,whole_lots,tracts,hcad_area_sf,har_lot,plat_median_sf,plat_risk,chain_marker,unit_letter,parcel_events,deciding_signal,evidence_needed
RESOLVED-SPLIT,A,845 West 23rd Street,,Single Lot,0200460000024,LTS 24 & 25 BLK 50|HOUSTON HEIGHTS,2,0,6550,,6550,,,,,"2 lettered units on one parcel (6,550 sf)",
RESOLVED-SPLIT,B,"118 E 23rd St, Houston, Tx 77008",2131144961,Split Lot,0200540000019,,,,3500,7250,7250,,yes,,SPLIT 2025_Oct->2026_Jul,"parcel SPLIT into half lots (children ~3,500 sf)",
RESOLVED-SPLIT,B,"314 W 21st St, Houston, Tx 77008",2131186599,Split Lot,0200810000007,LT 7 & TR 53 BLK 85|HOUSTON HEIGHTS,1,1,3500,7000,4666,YES,,,SPLIT 2025_Oct->2026_Jul,"parcel SPLIT into half lots (children ~3,500 sf)",
RESOLVED-SPLIT,B,845 West 23rd Street,act_845-w-23,Single Lot,0200460000024,LTS 24 & 25 BLK 50|HOUSTON HEIGHTS,2,0,6550,2455,6550,,,,,"2 lettered units on one parcel (6,550 sf)",
RESOLVED-SPLIT,B+C,"241 W 26th St, Houston, Tx 77008",2131282255,(unlabeled),0200240000028,,,,3275,6550,3275,,,,SPLIT 2025_Oct->2026_Jul,"parcel SPLIT into half lots (children ~3,275 sf)",
RESOLVED-SPLIT,B+C,"837 W 25th St, Houston, Tx 77008",2131282520,(unlabeled),0200310000027,LT 27 BLK 35|HOUSTON HEIGHTS,1,0,3275,6550,3275,,,,SPLIT 2025_Oct->2026_Jul,"parcel SPLIT into half lots (children ~3,275 sf)",
RESOLVED-SPLIT,C,"1124 W 21st St, Houston, Tx 77008",2131200959,(unlabeled),0610190030009,TR 9A BLK 3|QUENSELL LAWN,0,1,4294,4620,7250,,,,,"4,294 sf = 59% of plat median 7,250",
RESOLVED-SPLIT,C,"845 W 23rd St A, Houston, TX 77008",pmt_845-w-23rd-st-a-77008,(unlabeled),0200460000024,LTS 24 & 25 BLK 50|HOUSTON HEIGHTS,2,0,6550,,6550,,,yes,,"2 lettered units on one parcel (6,550 sf)",
RESOLVED-SPLIT,C,"845 W 23rd St B, Houston, TX 77008",pmt_845-w-23rd-st-b-77008,(unlabeled),0200460000024,LTS 24 & 25 BLK 50|HOUSTON HEIGHTS,2,0,6550,,6550,,,yes,,"2 lettered units on one parcel (6,550 sf)",
GENUINELY-AMBIGUOUS,A,1016 E 27 th Street,,Single Lot,,,,,,,,,,,,"no parcel, no legal",geocode fix — no HCAD parcel contains this pin
